"","n_samples","h2","prop_effect","S","results","res_error","method"
"1",30000,0.3,0.01,-1,1,0,"EB"
"11",3e+05,0.3,0.01,-1,0.646512807562289,0.0172572469259208,"EB"
"21",30000,0.8,0.01,-1,0.883751039166325,0.0610514495685312,"EB"
"31",3e+05,0.8,0.01,-1,0.568098669064941,0.00825169707856183,"EB"
"41",30000,0.3,0.001,-1,0.683955929815211,0.0558839292236501,"EB"
"51",3e+05,0.3,0.001,-1,0.488199454826042,0.0189647729800698,"EB"
"61",30000,0.8,0.001,-1,0.519529000629077,0.0500359318894251,"EB"
"71",3e+05,0.8,0.001,-1,0.470262642829937,0.0205663610097144,"EB"
"81",30000,0.3,0.01,0,0.888888888888889,0.220479275922049,"EB"
"91",3e+05,0.3,0.01,0,0.617828567486001,0.0192485506141587,"EB"
"101",30000,0.8,0.01,0,0.841998819152076,0.0526216238392781,"EB"
"111",3e+05,0.8,0.01,0,0.556796845512933,0.00871863555945249,"EB"
"121",30000,0.3,0.001,0,0.626731872369665,0.0538874812476259,"EB"
"131",3e+05,0.3,0.001,0,0.480224219004888,0.0248468999165265,"EB"
"141",30000,0.8,0.001,0,0.502506918627061,0.0563194492098821,"EB"
"151",3e+05,0.8,0.001,0,0.482083947646409,0.0122199383829552,"EB"
"161",30000,0.3,0.01,1,0.802083333333333,0.226855226192375,"EB"
"171",3e+05,0.3,0.01,1,0.608908369618672,0.0105013822465601,"EB"
"181",30000,0.8,0.01,1,0.815041357972082,0.0544305732847767,"EB"
"191",3e+05,0.8,0.01,1,0.550149153346604,0.0121593128365104,"EB"
"201",30000,0.3,0.001,1,0.541865817490051,0.0561104045688083,"EB"
"211",3e+05,0.3,0.001,1,0.486658941327664,0.0232333096959698,"EB"
"221",30000,0.8,0.001,1,0.49883464844993,0.0335307995979501,"EB"
"231",3e+05,0.8,0.001,1,0.458774886230889,0.0289886739955545,"EB"
"12",30000,0.3,0.01,-1,1,0,"FIQT"
"112",3e+05,0.3,0.01,-1,0.442197190769002,0.0114086462425844,"FIQT"
"212",30000,0.8,0.01,-1,0.744605599276148,0.0658080656838061,"FIQT"
"311",3e+05,0.8,0.01,-1,0.280325633406049,0.00645556304000269,"FIQT"
"411",30000,0.3,0.001,-1,0.362081114019918,0.0372368833490166,"FIQT"
"511",3e+05,0.3,0.001,-1,0.144741693482337,0.0134299070944458,"FIQT"
"611",30000,0.8,0.001,-1,0.209537683889786,0.0152162927355236,"FIQT"
"711",3e+05,0.8,0.001,-1,0.101557350162249,0.00924457143371855,"FIQT"
"811",30000,0.3,0.01,0,1,0,"FIQT"
"911",3e+05,0.3,0.01,0,0.400397952270305,0.0173418224180096,"FIQT"
"1011",30000,0.8,0.01,0,0.665787979844409,0.0434258375229158,"FIQT"
"1111",3e+05,0.8,0.01,0,0.268781672559677,0.0063999267796128,"FIQT"
"1211",30000,0.3,0.001,0,0.323212212967651,0.0387058605052018,"FIQT"
"1311",3e+05,0.3,0.001,0,0.144647578845651,0.0161188964413416,"FIQT"
"1411",30000,0.8,0.001,0,0.209106750298775,0.0285259376805212,"FIQT"
"1511",3e+05,0.8,0.001,0,0.107234505440299,0.00973027042105949,"FIQT"
"1611",30000,0.3,0.01,1,0.888333333333333,0.149081550307123,"FIQT"
"1711",3e+05,0.3,0.01,1,0.362463180995989,0.0130137900505248,"FIQT"
"1811",30000,0.8,0.01,1,0.590054506534407,0.0500960214088123,"FIQT"
"1911",3e+05,0.8,0.01,1,0.260497242852353,0.00543872135257363,"FIQT"
"2011",30000,0.3,0.001,1,0.26781547688347,0.0387865514784637,"FIQT"
"2111",3e+05,0.3,0.001,1,0.130114121905503,0.0214275085917435,"FIQT"
"2211",30000,0.8,0.001,1,0.181636668741399,0.026035423781086,"FIQT"
"2311",3e+05,0.8,0.001,1,0.112287080593472,0.0141399189086751,"FIQT"
"13",30000,0.3,0.01,-1,1,0,"BR"
"113",3e+05,0.3,0.01,-1,0.607841920679564,0.0135772923226791,"BR"
"213",30000,0.8,0.01,-1,0.794882165027326,0.068103643805071,"BR"
"312",3e+05,0.8,0.01,-1,0.529857042364162,0.0130937295227266,"BR"
"412",30000,0.3,0.001,-1,0.519211544333661,0.0472538569012895,"BR"
"512",3e+05,0.3,0.001,-1,0.358296360324396,0.0132810044427263,"BR"
"612",30000,0.8,0.001,-1,0.367380901708098,0.0206679299979625,"BR"
"712",3e+05,0.8,0.001,-1,0.383742897627752,0.0147863989094516,"BR"
"812",30000,0.3,0.01,0,0.923809523809524,0.135693398559762,"BR"
"912",3e+05,0.3,0.01,0,0.579455479992098,0.0171981079111752,"BR"
"1012",30000,0.8,0.01,0,0.748101386440605,0.0320672412354807,"BR"
"1112",3e+05,0.8,0.01,0,0.526784731420298,0.0144349310394418,"BR"
"1212",30000,0.3,0.001,0,0.461690130199311,0.0633223011275523,"BR"
"1312",3e+05,0.3,0.001,0,0.347109182542179,0.0208047234612733,"BR"
"1412",30000,0.8,0.001,0,0.332121419566468,0.0434395741630176,"BR"
"1512",3e+05,0.8,0.001,0,0.400439290832281,0.014704120288163,"BR"
"1612",30000,0.3,0.01,1,0.802040816326531,0.263728959431383,"BR"
"1712",3e+05,0.3,0.01,1,0.551244482572649,0.0181641252248152,"BR"
"1812",30000,0.8,0.01,1,0.66265541196105,0.0563014513003338,"BR"
"1912",3e+05,0.8,0.01,1,0.514698803698012,0.00948347267159676,"BR"
"2012",30000,0.3,0.001,1,0.411882156998897,0.0523945084957077,"BR"
"2112",3e+05,0.3,0.001,1,0.350157549418242,0.0199544404488382,"BR"
"2212",30000,0.8,0.001,1,0.326607211251988,0.0358447583802885,"BR"
"2312",3e+05,0.8,0.001,1,0.39540688932937,0.0233075359295437,"BR"
"14",30000,0.3,0.01,-1,0.944444444444444,0.136082763487954,"cl1"
"114",3e+05,0.3,0.01,-1,0.528977536866872,0.00776796909406256,"cl1"
"214",30000,0.8,0.01,-1,0.634203780777994,0.0969496000599029,"cl1"
"313",3e+05,0.8,0.01,-1,0.514877482217028,0.013193566605156,"cl1"
"413",30000,0.3,0.001,-1,0.541890011249292,0.042954270475157,"cl1"
"513",3e+05,0.3,0.001,-1,0.503140097471015,0.0136858848164751,"cl1"
"613",30000,0.8,0.001,-1,0.50853664517927,0.022100307610445,"cl1"
"713",3e+05,0.8,0.001,-1,0.513693405929833,0.0148206728604979,"cl1"
"813",30000,0.3,0.01,0,0.933333333333333,0.149071198499986,"cl1"
"913",3e+05,0.3,0.01,0,0.523300740761952,0.0196949762230213,"cl1"
"1013",30000,0.8,0.01,0,0.600654510661543,0.0557560986721921,"cl1"
"1113",3e+05,0.8,0.01,0,0.512531653949428,0.0090707004729288,"cl1"
"1213",30000,0.3,0.001,0,0.534283577339907,0.0487290878736646,"cl1"
"1313",3e+05,0.3,0.001,0,0.516383749715227,0.0228220907078742,"cl1"
"1413",30000,0.8,0.001,0,0.514347458263289,0.0375568841444888,"cl1"
"1513",3e+05,0.8,0.001,0,0.499413631882141,0.0176569583039837,"cl1"
"1613",30000,0.3,0.01,1,0.785185185185185,0.183984533703177,"cl1"
"1713",3e+05,0.3,0.01,1,0.533634980174237,0.00808993423083741,"cl1"
"1813",30000,0.8,0.01,1,0.570194283362105,0.0417916180928369,"cl1"
"1913",3e+05,0.8,0.01,1,0.515221211015658,0.00722889450913951,"cl1"
"2013",30000,0.3,0.001,1,0.541296202156762,0.0498829016823204,"cl1"
"2113",3e+05,0.3,0.001,1,0.504563013489781,0.0179912925345643,"cl1"
"2213",30000,0.8,0.001,1,0.499481726808633,0.0193517436880099,"cl1"
"2313",3e+05,0.8,0.001,1,0.499904141526249,0.021098895923826,"cl1"
"15",30000,0.3,0.01,-1,1,0,"cl2"
"115",3e+05,0.3,0.01,-1,0.495984051980306,0.0150539254343207,"cl2"
"215",30000,0.8,0.01,-1,0.758742064695902,0.0715956142669917,"cl2"
"314",3e+05,0.8,0.01,-1,0.482023054007359,0.00773796904220118,"cl2"
"414",30000,0.3,0.001,-1,0.518447858356815,0.0517811159483686,"cl2"
"514",3e+05,0.3,0.001,-1,0.469372016401398,0.0180475588168464,"cl2"
"614",30000,0.8,0.001,-1,0.488434065470967,0.0273160035500526,"cl2"
"714",3e+05,0.8,0.001,-1,0.477624416455916,0.0133382190488423,"cl2"
"814",30000,0.3,0.01,0,0.966666666666667,0.105409255338946,"cl2"
"914",3e+05,0.3,0.01,0,0.491789687161527,0.0220639098783873,"cl2"
"1014",30000,0.8,0.01,0,0.660169008470323,0.0662308737263669,"cl2"
"1114",3e+05,0.8,0.01,0,0.489981556050898,0.0115919204686021,"cl2"
"1214",30000,0.3,0.001,0,0.524285330463491,0.0466026977230911,"cl2"
"1314",3e+05,0.3,0.001,0,0.47471095936436,0.0172251574575485,"cl2"
"1414",30000,0.8,0.001,0,0.482262694271974,0.0182292255722771,"cl2"
"1514",3e+05,0.8,0.001,0,0.463326465083497,0.0132817769378615,"cl2"
"1614",30000,0.3,0.01,1,0.9,0.174801474695025,"cl2"
"1714",3e+05,0.3,0.01,1,0.490832308040112,0.0159827661175692,"cl2"
"1814",30000,0.8,0.01,1,0.612641948815654,0.0835074472279635,"cl2"
"1914",3e+05,0.8,0.01,1,0.477383639481133,0.00963682459423357,"cl2"
"2014",30000,0.3,0.001,1,0.479833955931501,0.0732530703918548,"cl2"
"2114",3e+05,0.3,0.001,1,0.491106107402665,0.0150194556607217,"cl2"
"2214",30000,0.8,0.001,1,0.47678305905094,0.0246355741929843,"cl2"
"2314",3e+05,0.8,0.001,1,0.460348044067286,0.0183463981072926,"cl2"
"16",30000,0.3,0.01,-1,0.9375,0.125,"cl3"
"116",3e+05,0.3,0.01,-1,0.503776203204618,0.0179669611049894,"cl3"
"216",30000,0.8,0.01,-1,0.646610195176757,0.0535933499041709,"cl3"
"315",3e+05,0.8,0.01,-1,0.497244862732681,0.00848595281457152,"cl3"
"415",30000,0.3,0.001,-1,0.494996738739601,0.0502141917846275,"cl3"
"515",3e+05,0.3,0.001,-1,0.501370009635086,0.0156100705391907,"cl3"
"615",30000,0.8,0.001,-1,0.480155016237831,0.0174389305263014,"cl3"
"715",3e+05,0.8,0.001,-1,0.489548136463054,0.0142443242822494,"cl3"
"815",30000,0.3,0.01,0,1,0,"cl3"
"915",3e+05,0.3,0.01,0,0.516709961190356,0.0189183153953153,"cl3"
"1015",30000,0.8,0.01,0,0.638281030881145,0.0327051818387505,"cl3"
"1115",3e+05,0.8,0.01,0,0.496240142773196,0.00819714313749706,"cl3"
"1215",30000,0.3,0.001,0,0.529936906558835,0.0642731672164952,"cl3"
"1315",3e+05,0.3,0.001,0,0.487117367783964,0.0225999364720533,"cl3"
"1415",30000,0.8,0.001,0,0.499677473746024,0.0239532631962237,"cl3"
"1515",3e+05,0.8,0.001,0,0.479545592780781,0.0176051884446224,"cl3"
"1615",30000,0.3,0.01,1,0.852040816326531,0.20037016279376,"cl3"
"1715",3e+05,0.3,0.01,1,0.500631747378941,0.015277565743245,"cl3"
"1815",30000,0.8,0.01,1,0.587462855903841,0.033529301638174,"cl3"
"1915",3e+05,0.8,0.01,1,0.497033134556895,0.0123702099916975,"cl3"
"2015",30000,0.3,0.001,1,0.514445501193349,0.0557647392785896,"cl3"
"2115",3e+05,0.3,0.001,1,0.499352445552725,0.0159611570405933,"cl3"
"2215",30000,0.8,0.001,1,0.503209828252987,0.0349041707085025,"cl3"
"2315",3e+05,0.8,0.001,1,0.491146603956284,0.0158253610335794,"cl3"
