"","sim","n_samples","h2","prop_effect","S","n_sig","prop_bias","prop_x","mse"
"1",1,30000,0.3,0.01,0,1937,1,0.820340733092411,0.00103547339575325
"2",2,30000,0.3,0.01,0,1834,0.999454743729553,0.851145038167939,0.000919055665147316
"3",3,30000,0.3,0.01,0,1370,1,0.901459854014598,0.000988990201968049
"4",4,30000,0.3,0.01,0,1029,0.989310009718173,0.699708454810496,0.000836114656371756
"5",5,30000,0.3,0.01,0,1854,1,0.7319309600863,0.000807854995829498
"6",6,30000,0.3,0.01,0,1804,0.980044345898004,0.69179600886918,0.00085356522314402
"7",7,30000,0.3,0.01,0,1334,0.987256371814093,0.761619190404798,0.000989511085433265
"8",8,30000,0.3,0.01,0,1494,1,0.766398929049531,0.000996482540630871
"9",9,30000,0.3,0.01,0,1573,1,0.745073108709472,0.00100170619636544
"10",10,30000,0.3,0.01,0,2041,1,0.850073493385595,0.00101763932322757
"11",1,3e+05,0.3,0.01,0,82422,0.722853121739341,0.16684865691199,2.07311798565169e-05
"12",2,3e+05,0.3,0.01,0,80231,0.723361294262816,0.172863357056499,2.03358640882907e-05
"13",3,3e+05,0.3,0.01,0,82425,0.710269942371853,0.175298756445253,2.05288519441572e-05
"14",4,3e+05,0.3,0.01,0,76860,0.736208691126724,0.169854280510018,2.04068207664309e-05
"15",5,3e+05,0.3,0.01,0,80498,0.707321921041517,0.166612835101493,2.09079056213871e-05
"16",6,3e+05,0.3,0.01,0,77963,0.712196811307928,0.161550992137296,1.99040920599955e-05
"17",7,3e+05,0.3,0.01,0,78940,0.723524195591589,0.169533823156828,2.10307855444762e-05
"18",8,3e+05,0.3,0.01,0,80265,0.712464959820594,0.169700367532548,2.05993510328645e-05
"19",9,3e+05,0.3,0.01,0,82220,0.718474823643882,0.179761615178789,2.17784165084823e-05
"20",10,3e+05,0.3,0.01,0,79305,0.707698127482504,0.172624676880398,2.06093157681783e-05
"21",1,30000,0.8,0.01,0,11019,0.922769761321354,0.42925855340775,0.000424912590437295
"22",2,30000,0.8,0.01,0,12209,0.911131132770907,0.372102547301171,0.000388312739760585
"23",3,30000,0.8,0.01,0,11214,0.910736579275905,0.440699126092385,0.000446048234756259
"24",4,30000,0.8,0.01,0,10884,0.881477398015435,0.433664094083058,0.000420168273605798
"25",5,30000,0.8,0.01,0,11134,0.900125740973594,0.339051553799174,0.000352884866425511
"26",6,30000,0.8,0.01,0,10876,0.911088635527768,0.441890400882677,0.00042538919193605
"27",7,30000,0.8,0.01,0,11122,0.916831505124978,0.431666966372954,0.000424405839919967
"28",8,30000,0.8,0.01,0,10333,0.898867705409852,0.44894996612794,0.000433051295547332
"29",9,30000,0.8,0.01,0,11489,0.882931499695361,0.400644094351118,0.000377487220859108
"30",10,30000,0.8,0.01,0,11886,0.890122833585731,0.376661618711089,0.000388176581797311
"31",1,3e+05,0.8,0.01,0,192281,0.619520389430053,0.108294631294824,1.70157967675687e-05
"32",2,3e+05,0.8,0.01,0,191618,0.637805425377574,0.118214363995032,1.78551342137198e-05
"33",3,3e+05,0.8,0.01,0,193557,0.630982087963752,0.111326379309454,1.74197792455585e-05
"34",4,3e+05,0.8,0.01,0,198641,0.627463615265731,0.112715904571564,1.71634723694116e-05
"35",5,3e+05,0.8,0.01,0,195595,0.622106904573225,0.114333188476188,1.72669721433883e-05
"36",6,3e+05,0.8,0.01,0,192041,0.628334574387761,0.118375763508834,1.81602611240599e-05
"37",7,3e+05,0.8,0.01,0,193653,0.642267354494895,0.113285102735305,1.73718358927308e-05
"38",8,3e+05,0.8,0.01,0,196110,0.626021110601193,0.110504308806282,1.72409565660745e-05
"39",9,3e+05,0.8,0.01,0,195502,0.621922026373132,0.101252161103211,1.64030380065839e-05
"40",10,3e+05,0.8,0.01,0,189817,0.624001011500551,0.107003060842812,1.6684557476321e-05
"41",1,30000,0.3,0.001,0,8025,0.759626168224299,0.24398753894081,0.000269807080626917
"42",2,30000,0.3,0.001,0,7706,0.728652997664158,0.239553594601609,0.000298695074467731
"43",3,30000,0.3,0.001,0,7402,0.804106998108619,0.303971899486625,0.000371880836770508
"44",4,30000,0.3,0.001,0,7114,0.839893168400337,0.216896260894012,0.000238581954276912
"45",5,30000,0.3,0.001,0,7620,0.829527559055118,0.280183727034121,0.00033636463659954
"46",6,30000,0.3,0.001,0,6834,0.762071992976295,0.207930933567457,0.000275345300215273
"47",7,30000,0.3,0.001,0,7473,0.796467282215978,0.245684464070654,0.000261262230760366
"48",8,30000,0.3,0.001,0,7060,0.758640226628895,0.16699716713881,0.000248897186825979
"49",9,30000,0.3,0.001,0,7120,0.736516853932584,0.250280898876404,0.000284413813786518
"50",10,30000,0.3,0.001,0,7372,0.801817688551275,0.149484536082474,0.000226577663253638
"51",1,3e+05,0.3,0.001,0,48566,0.560433224889841,0.0765762055759173,1.60839821809084e-05
"52",2,3e+05,0.3,0.001,0,47907,0.599536602166698,0.0906756841380174,1.77772640820693e-05
"53",3,3e+05,0.3,0.001,0,46940,0.547486152535151,0.103898593949723,1.84694488653209e-05
"54",4,3e+05,0.3,0.001,0,49590,0.557612421859246,0.0865698729582577,1.71407870145142e-05
"55",5,3e+05,0.3,0.001,0,47766,0.585039567893481,0.0869656240840765,1.60176717355345e-05
"56",6,3e+05,0.3,0.001,0,47218,0.574378415011225,0.0948578931763311,1.77520279006083e-05
"57",7,3e+05,0.3,0.001,0,46459,0.557308594674875,0.0842893734260316,1.65532578772915e-05
"58",8,3e+05,0.3,0.001,0,45705,0.580680450716552,0.0746089049338147,1.6122185203621e-05
"59",9,3e+05,0.3,0.001,0,46915,0.580709794308856,0.0931258659277417,1.72126295140382e-05
"60",10,3e+05,0.3,0.001,0,47782,0.536373529781089,0.076430454983048,1.54295706423563e-05
"61",1,30000,0.8,0.001,0,22785,0.655518981786263,0.127145051569015,0.000195159644855592
"62",2,30000,0.8,0.001,0,22648,0.621379371246909,0.106411162133522,0.000168543986680195
"63",3,30000,0.8,0.001,0,22046,0.650231334482446,0.130772022135535,0.000192051245496422
"64",4,30000,0.8,0.001,0,22147,0.675757438930781,0.143495733056396,0.000194387422372479
"65",5,30000,0.8,0.001,0,21275,0.625522914218566,0.103125734430082,0.000181929758894014
"66",6,30000,0.8,0.001,0,22785,0.66460390607856,0.122141759929778,0.000181331233984116
"67",7,30000,0.8,0.001,0,23149,0.63199274266707,0.122856278888937,0.000202642322433283
"68",8,30000,0.8,0.001,0,21322,0.615233092580433,0.121611481099334,0.000189084895127396
"69",9,30000,0.8,0.001,0,21835,0.632516601786123,0.128417678039844,0.000181984529564294
"70",10,30000,0.8,0.001,0,21708,0.642297770407223,0.13727658006265,0.000201665036138108
"71",1,3e+05,0.8,0.001,0,62793,0.526619209147516,0.0631758317009858,1.58509161183789e-05
"72",2,3e+05,0.8,0.001,0,65204,0.544675173302251,0.0843813262990001,1.65408504730708e-05
"73",3,3e+05,0.8,0.001,0,64479,0.547976860683323,0.0776997161866654,1.77985351665427e-05
"74",4,3e+05,0.8,0.001,0,64489,0.564856021957233,0.0718727224798028,1.54181067949101e-05
"75",5,3e+05,0.8,0.001,0,64449,0.520395972008875,0.0591785753076076,1.4092643751527e-05
"76",6,3e+05,0.8,0.001,0,64880,0.538532675709001,0.0624845869297164,1.56680934278437e-05
"77",7,3e+05,0.8,0.001,0,62311,0.557590152621527,0.073261542905747,1.62933264931892e-05
"78",8,3e+05,0.8,0.001,0,64381,0.553439679408521,0.0734222829716842,1.60180001411275e-05
"79",9,3e+05,0.8,0.001,0,63289,0.547678111520169,0.0756055554677748,1.57841603253564e-05
"80",10,3e+05,0.8,0.001,0,65249,0.540973808027709,0.063250011494429,1.55109773669312e-05
